AffixName|AffixID|Type1|Property1|T1|T2|T3|T4|T5|T6|T7|Type2|Property2|MT1|MT2|MT3|MT4|MT5|MT6|MT7
Acolyte Physical Spell Critical Strike Chance|424|INCREASED|CriticalChance|0.45-0.51|0.52-0.58|0.59-0.65|0.66-0.72|0.73-0.95|1.15-1.4|1.41-1.8|x|x|x|x|x|x|x|x|x
Idol Sentinel Increased Void Damage Over Time|403||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Endurance Threshold|425|ADDED|EnduranceThreshold|20-26|27-35|36-45|46-55|56-75|100-140|141-185|x|x|x|x|x|x|x|x|x
Less Bonus Damage Taken from Critical Strikes|427|ADDED|LessBonusDamageTakenFromCrits|0.35-0.43|0.44-0.53|0.54-0.66|0.67-0.8|0.81-1|1-1|1-1|x|x|x|x|x|x|x|x|x
Melee Frailty Chance|428|ADDED|AilmentChance|0.35-0.4|0.41-0.5|0.51-0.6|0.61-0.7|0.71-0.85|1.05-1.3|1.31-1.7|x|x|x|x|x|x|x|x|x
Frailty Chance|429|ADDED|AilmentChance|0.12-0.15|0.16-0.19|0.2-0.23|0.24-0.27|0.28-0.35|0.44-0.55|0.56-0.7|x|x|x|x|x|x|x|x|x
Idol Health on Kill|106||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Increased Bow Damage|431|INCREASED|Damage|0.06-0.12|0.13-0.21|0.22-0.3|0.31-0.39|0.4-0.6|0.75-0.95|0.96-1.2|x|x|x|x|x|x|x|x|x
Increased Bow Attack Speed|432|INCREASED|AttackSpeed|0.04-0.05|0.06-0.07|0.08-0.09|0.1-0.11|0.12-0.15|0.18-0.23|0.24-0.3|x|x|x|x|x|x|x|x|x
Added Bow Physical Damage|433|ADDED|Damage|2-3|4-5|6-7|8-9|10-12|15-19|20-24|x|x|x|x|x|x|x|x|x
Added Bow Fire Damage|434|ADDED|Damage|2-3|4-5|6-7|8-9|10-12|15-19|20-24|x|x|x|x|x|x|x|x|x
Acolyte Chance To Cast Marrow Shards When You Cast Transplant|435|ADDED|AbilityProperty|0.05-0.07|0.08-0.15|0.16-0.25|0.26-0.3|0.31-0.4|0.55-0.75|0.76-1|x|x|x|x|x|x|x|x|x
Idol Rogue Ward Gained when you create a Shadow|436||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Rogue Ward Gained when you create a Shadow|437|ADDED|AbilityProperty|16-20|21-25|26-30|31-37|38-50|65-85|86-110|x|x|x|x|x|x|x|x|x
Idol Rogue Increased Damage of Shadows|438||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Rogue Increased Damage of Shadows|439|ADDED|AbilityProperty|0.41-0.5|0.51-0.6|0.61-0.7|0.71-0.8|0.81-1|1.35-1.8|1.81-2.4|x|x|x|x|x|x|x|x|x
Rogue Health Gained on Glancing Blow|440|ADDED|PlayerProperty|6-7|8-9|10-11|12-13|14-18|23-28|29-36|x|x|x|x|x|x|x|x|x
Idol Rogue Dodge Rating if Hit Recently|441||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Rogue Dodge Rating if Hit Recently|442|ADDED|PlayerProperty|60-72|73-85|86-100|101-120|121-160|210-270|271-360|x|x|x|x|x|x|x|x|x
Rogue Crimson Shroud Chance on Melee Hit|443|ADDED|PlayerProperty|0.12-0.15|0.16-0.19|0.2-0.23|0.24-0.28|0.29-0.35|0.44-0.55|0.56-0.7|x|x|x|x|x|x|x|x|x
Idol Rogue Bow Attack Speed for 3 seconds when you use a Bow Attack|444||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Idol Rogue Increased Critical Strike Chance per Equipped Sword|445||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Rogue Increased Critical Strike Chance per Equipped Sword|446|ADDED|PlayerProperty|0.31-0.35|0.36-0.4|0.41-0.45|0.46-0.5|0.51-0.6|0.75-0.95|0.96-1.2|x|x|x|x|x|x|x|x|x
Idol Rogue Increased Critical Strike Chance per Equipped Dagger|447||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Rogue Increased Critical Strike Chance per Equipped Dagger|448|ADDED|PlayerProperty|0.31-0.35|0.36-0.4|0.41-0.45|0.46-0.5|0.51-0.6|0.75-0.95|0.96-1.2|x|x|x|x|x|x|x|x|x
Rogue Chance to gain Dusk Shroud When Hit|449|ADDED|PlayerProperty|0.12-0.16|0.17-0.21|0.22-0.26|0.27-0.32|0.33-0.4|0.5-0.6|0.61-0.8|x|x|x|x|x|x|x|x|x
Idol Rogue Bleed Chance per Equipped Sword|450||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Rogue Bleed Chance per Equipped Sword|451|ADDED|PlayerProperty|0.31-0.35|0.36-0.4|0.41-0.45|0.46-0.5|0.51-0.6|0.75-0.95|0.96-1.2|x|x|x|x|x|x|x|x|x
Idol Rogue Poison Chance per Equipped Dagger|452||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Rogue Poison Chance per Equipped Dagger|453|ADDED|PlayerProperty|0.18-0.2|0.21-0.23|0.24-0.27|0.28-0.32|0.33-0.4|0.5-0.65|0.66-0.85|x|x|x|x|x|x|x|x|x
Rogue Dusk Shroud Chance on Melee Hit|454|ADDED|PlayerProperty|0.17-0.21|0.22-0.26|0.27-0.31|0.32-0.36|0.37-0.45|0.55-0.7|0.71-0.9|x|x|x|x|x|x|x|x|x
Idol Rogue Health Gained on Dodge|455||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Idol Rogue Critical Strike Multiplier while dual wielding|456||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Rogue Added Physical Throwing Damage while dual wielding|457|ADDED|PlayerProperty|5-6|7-8|9-10|11-13|14-17|22-26|27-34|x|x|x|x|x|x|x|x|x
Idol Rogue Increased damage while wielding a sword|458||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Rogue Increased damage while wielding a sword|459|ADDED|PlayerProperty|0.26-0.3|0.31-0.35|0.36-0.4|0.41-0.47|0.48-0.6|0.75-0.95|0.96-1.2|x|x|x|x|x|x|x|x|x
Idol Rogue Increased damage while wielding a dagger|460||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Rogue Increased damage while wielding a dagger|461|ADDED|PlayerProperty|0.26-0.3|0.31-0.35|0.36-0.4|0.41-0.47|0.48-0.6|0.75-0.95|0.96-1.2|x|x|x|x|x|x|x|x|x
Idol Rogue Increased damage while wielding a bow|462||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Rogue Increased damage while wielding a bow|463|ADDED|PlayerProperty|0.26-0.3|0.31-0.35|0.36-0.4|0.41-0.47|0.48-0.6|0.75-0.95|0.96-1.2|x|x|x|x|x|x|x|x|x
Idol Rogue Physical Penetration while wielding a dagger|464||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Idol Rogue Fire Penetration while wielding a dagger|465||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Idol Rogue Increased Physical Damage over Time|466||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Idol Rogue Fire Penetration With Ignite|467||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Rogue Fire Penetration With Ignite|468|ADDED|IncreasedAilmentEffect|0.07-0.07|0.08-0.08|0.09-0.1|0.11-0.12|0.13-0.16|0.2-0.24|0.25-0.3|x|x|x|x|x|x|x|x|x
Rogue Increased Poison Duration|469|ADDED|IncreasedAilmentDuration|0.07-0.07|0.08-0.08|0.09-0.1|0.11-0.12|0.13-0.16|0.2-0.24|0.25-0.3|x|x|x|x|x|x|x|x|x
Idol Rogue Increased Throwing Physical Damage|470||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Rogue Increased Throwing Physical Damage|471|INCREASED|Damage|0.26-0.3|0.31-0.35|0.36-0.4|0.41-0.47|0.48-0.6|0.75-0.95|0.96-1.2|x|x|x|x|x|x|x|x|x
Idol Rogue Chance to Shred Armour on Throwing Hit|472||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Rogue Chance to Shred Armour on Throwing Hit|473|ADDED|AilmentChance|0.31-0.4|0.41-0.5|0.51-0.6|0.61-0.75|0.76-1|1.35-1.8|1.81-2.4|x|x|x|x|x|x|x|x|x
Idol Rogue Chance to Shred Armour on Melee Hit|474||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Rogue Chance to Shred Armour on Melee Hit|475|ADDED|AilmentChance|0.31-0.4|0.41-0.5|0.51-0.6|0.61-0.75|0.76-1|1.35-1.8|1.81-2.4|x|x|x|x|x|x|x|x|x
Idol Rogue Chance to Shred Armour on Bow Hit|476||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Rogue Chance to Shred Armour on Bow Hit|477|ADDED|AilmentChance|0.31-0.4|0.41-0.5|0.51-0.6|0.61-0.75|0.76-1|1.35-1.8|1.81-2.4|x|x|x|x|x|x|x|x|x
Idol Rogue Armour Shred Effect|478||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Rogue Armour Shred Effect|479|ADDED|IncreasedAilmentEffect|0.45-0.51|0.52-0.58|0.59-0.65|0.66-0.72|0.73-0.95|1.2-1.5|1.51-1.9|x|x|x|x|x|x|x|x|x
Idol Rogue Increased Armour Shred Duration|480||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Rogue Increased Armour Shred Duration|481|ADDED|IncreasedAilmentDuration|0.5-0.6|0.61-0.72|0.73-0.85|0.86-1|1.01-1.2|1.5-1.9|1.91-2.4|x|x|x|x|x|x|x|x|x
Idol Rogue Chance to Ignite on Bow Hit|482||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Rogue Chance to Ignite on Bow Hit|483|ADDED|AilmentChance|0.15-0.17|0.18-0.2|0.21-0.24|0.25-0.28|0.29-0.35|0.44-0.55|0.56-0.7|x|x|x|x|x|x|x|x|x
Idol Rogue Chance to Slow on Bow Hit|484||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Rogue Chance to Slow on Bow Hit|485|ADDED|AilmentChance|0.15-0.17|0.18-0.2|0.21-0.24|0.25-0.28|0.29-0.35|0.44-0.55|0.56-0.7|x|x|x|x|x|x|x|x|x
Idol Rogue Physical Penetration With Shadow Daggers|486||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Rogue Physical Penetration With Shadow Daggers|487|ADDED|IncreasedAilmentEffect|0.13-0.17|0.18-0.22|0.23-0.27|0.28-0.32|0.33-0.45|0.6-0.77|0.78-1|x|x|x|x|x|x|x|x|x
Idol Rogue Increased Bow Elemental Damage|488||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Rogue Increased Bow Elemental Damage|489|INCREASED|Damage|0.26-0.3|0.31-0.35|0.36-0.4|0.41-0.47|0.48-0.6|0.75-0.95|0.96-1.2|x|x|x|x|x|x|x|x|x
Idol Rogue Increased Throwing Damage|490||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Idol Rogue Increased Bow Damage|491||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Idol Rogue Increased Bow Critical Strike Chance|492||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Idol Rogue Chance to Bleed on Bow Hit|493||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Rogue Chance to Bleed on Bow Hit|494|ADDED|AilmentChance|0.15-0.17|0.18-0.2|0.21-0.24|0.25-0.28|0.29-0.35|0.44-0.55|0.56-0.7|x|x|x|x|x|x|x|x|x
Idol Rogue Increased Area with Cinder Strike's First Attack|495||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Rogue Increased Area with Cinder Strike's First Strike|496|ADDED|AbilityProperty|0.15-0.17|0.19-0.22|0.23-0.27|0.28-0.32|0.33-0.4|0.5-0.6|0.61-0.8|x|x|x|x|x|x|x|x|x
Idol Rogue Increased crit chance with Flurry|497||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Rogue Increased crit chance with Flurry|498|ADDED|AbilityProperty|0.36-0.4|0.41-0.45|0.46-0.55|0.56-0.65|0.66-0.8|1-1.25|1.26-1.6|x|x|x|x|x|x|x|x|x
Idol Rogue Physical penetration with Puncture|499||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Rogue Physical penetration with Puncture|500|ADDED|AbilityProperty|0.06-0.06|0.07-0.07|0.08-0.08|0.09-0.1|0.11-0.14|0.17-0.2|0.21-0.25|x|x|x|x|x|x|x|x|x
Idol Rogue Increased Area with Detonating Arrow|508||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Rogue Increased Area with Detonating Arrow|509|ADDED|AbilityProperty|0.15-0.17|0.19-0.22|0.23-0.27|0.28-0.32|0.33-0.4|0.5-0.6|0.61-0.8|x|x|x|x|x|x|x|x|x
Idol Rogue Increased damage per arrow with Multishot|510||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Rogue Increased damage per arrow with Multishot|511|ADDED|AbilityProperty|0.04-0.04|0.05-0.05|0.06-0.06|0.07-0.07|0.08-0.1|0.12-0.15|0.16-0.2|x|x|x|x|x|x|x|x|x
Idol Rogue Increased duration with Hail of Arrows|512||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Rogue Increased Hail of Arrows Duration|513|ADDED|AbilityProperty|0.11-0.13|0.14-0.16|0.17-0.19|0.2-0.23|0.24-0.3|0.38-0.46|0.47-0.6|x|x|x|x|x|x|x|x|x
Idol Rogue Damage per Shadow with Shadow Cascade|514||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Rogue Increased damage per active Shadow with Shadow Cascade|515|ADDED|AbilityProperty|0.12-0.14|0.15-0.17|0.18-0.2|0.21-0.23|0.24-0.3|0.38-0.46|0.47-0.6|x|x|x|x|x|x|x|x|x
Idol Rogue Bleed chance with Shurikens|516||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Rogue Bleed Chance with Shurikens|517|ADDED|AbilityProperty|0.15-0.17|0.19-0.22|0.23-0.27|0.28-0.32|0.33-0.4|0.5-0.6|0.61-0.8|x|x|x|x|x|x|x|x|x
Idol Rogue Increased Acid Flask Area|520||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Rogue Increased Acid Flask Area|521|ADDED|AbilityProperty|0.05-0.1|0.11-0.15|0.16-0.2|0.21-0.25|0.26-0.3|0.38-0.46|0.47-0.6|x|x|x|x|x|x|x|x|x
Idol Rogue Chance to Summon A Bee with Acid Flask|522||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Idol Rogue Increased Dancing Strikes Area|523||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Rogue Increased Dancing Strikes Area|524|ADDED|AbilityProperty|0.12-0.15|0.16-0.19|0.2-0.23|0.24-0.27|0.28-0.35|0.44-0.55|0.56-0.7|x|x|x|x|x|x|x|x|x
Idol Rogue Mana Efficiency with Synchronised Strike|525||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Rogue Mana efficiency with Synchronised Strike|526|ADDED|AbilityProperty|0.07-0.08|0.09-0.1|0.11-0.12|0.13-0.15|0.16-0.2|0.24-0.3|0.31-0.4|x|x|x|x|x|x|x|x|x
Idol Rogue Mana efficiency with Decoy|527||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Rogue Mana efficiency with Decoy|528|ADDED|AbilityProperty|0.07-0.08|0.09-0.1|0.11-0.12|0.13-0.15|0.16-0.2|0.24-0.3|0.31-0.4|x|x|x|x|x|x|x|x|x
Idol Rogue Ward gained on use with Smoke Bomb|529||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Rogue Ward gained on use with Smoke Bomb|530|ADDED|AbilityProperty|25-29|30-35|36-45|46-55|56-70|90-110|111-145|x|x|x|x|x|x|x|x|x
Idol Rogue Ward gained on use with Shift|531||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Rogue Ward gained on use with Shift|532|ADDED|AbilityProperty|16-20|21-25|26-30|31-40|41-50|65-80|81-100|x|x|x|x|x|x|x|x|x
Idol Rogue Added Physical damage for Ballistae|535||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Idol Rogue Increased Area of mirage attacks with Lethal Mirage|538||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Increased Minion Melee Damage|643|INCREASED|Damage|0.1-0.2|0.21-0.3|0.31-0.4|0.41-0.5|0.51-0.7|0.9-1.1|1.11-1.4|x|x|x|x|x|x|x|x|x
Primalist Storm Crow Added Spell Damage|648|ADDED|AbilityProperty|4-5|6-7|8-9|10-11|12-14|17-20|21-25|x|x|x|x|x|x|x|x|x
Mage Idol Cooldown Recovery Speed for Surge|651||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Leech Rate|40|ADDED|IncreasedLeechRate|0.12-0.17|0.18-0.23|0.24-0.29|0.3-0.35|0.36-0.45|0.55-0.7|0.71-1|x|x|x|x|x|x|x|x|x
Sentinel Added Lightning Throwing Damage with Javelin|655|ADDED|AbilityProperty|6-7|8-10|11-13|14-17|18-22|29-34|35-44|x|x|x|x|x|x|x|x|x
Sentinel Endurance While Warpathing|656|ADDED|AbilityProperty|0.07-0.1|0.11-0.14|0.15-0.18|0.19-0.23|0.24-0.3|0.3-0.3|0.3-0.3|x|x|x|x|x|x|x|x|x
Idol Mage Added Static Orb Tendrils|657||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Idol Sentinel Percent Missing Health Restored On Lunge|658||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Idol Sentinel Chance For Additional Multistrike Swords|659||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Primalist Armour Shred Chance for Locusts|663|ADDED|AbilityProperty|0.14-0.19|0.2-0.27|0.28-0.35|0.36-0.45|0.46-0.6|0.75-0.9|0.91-1.2|x|x|x|x|x|x|x|x|x
Primalist Upheaval Shockwave Chance|665|ADDED|AbilityProperty|0.14-0.19|0.2-0.25|0.26-0.32|0.33-0.39|0.4-0.6|0.76-0.87|0.88-1|x|x|x|x|x|x|x|x|x
Primalist Attack and Cast Speed for Summoned Vines|666|ADDED|AbilityProperty|0.07-0.09|0.1-0.12|0.13-0.16|0.17-0.2|0.21-0.26|0.33-0.39|0.4-0.5|x|x|x|x|x|x|x|x|x
Primalist Critical Strike Chance with Rampage|667|ADDED|AbilityProperty|0.03-0.03|0.04-0.04|0.05-0.05|0.06-0.06|0.07-0.08|0.1-0.11|0.12-0.15|x|x|x|x|x|x|x|x|x
Idol Rogue Increased Umbral Blades Damage per stack of Dusk Shroud|668||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Increased Area for Area Skills|101|ADDED|IncreasedAreaForAreaSkills|0.06-0.07|0.08-0.09|0.1-0.12|0.13-0.15|0.16-0.2|0.25-0.29|0.3-0.34|x|x|x|x|x|x|x|x|x
Added Bow Lightning Damage|669|ADDED|Damage|2-3|4-5|6-7|8-9|10-12|15-19|20-24|x|x|x|x|x|x|x|x|x
Added Bow Cold Damage|670|ADDED|Damage|2-3|4-5|6-7|8-9|10-12|15-19|20-24|x|x|x|x|x|x|x|x|x
Area for Melee Area Skills|671|ADDED|IncreasedAreaForAreaSkills|0.08-0.1|0.11-0.14|0.15-0.19|0.2-0.24|0.25-0.32|0.38-0.45|0.46-0.55|x|x|x|x|x|x|x|x|x
Extra Potion Slot And Potion Health|82|ADDED|PotionSlots|1-1|1-1|1-1|1-1|1-1|2-2|3-3|ADDED|PotionHealth|10-20|21-35|36-50|51-70|71-100|125-160|161-200
Freeze Rate Multiplier and Cold Resistance|14|ADDED|FreezeRateMultiplier|0.2-0.4|0.41-0.65|0.66-1|1.01-1.4|1.41-1.8|2.2-2.7|2.71-3.5|ADDED|ColdResistance|0.05-0.05|0.06-0.06|0.07-0.07|0.08-0.08|0.09-0.1|0.12-0.14|0.15-0.18
Hybrid Stun Avoidance|29|ADDED|StunAvoidance|20-40|41-80|81-140|141-210|211-300|400-500|501-650|INCREASED|StunAvoidance|0.06-0.08|0.09-0.11|0.12-0.15|0.16-0.19|0.2-0.25|0.3-0.37|0.38-0.5
Lightning Damage And Leech|42|ADDED|Damage|3-4|5-6|7-8|9-11|12-15|19-24|25-30|ADDED|HealthLeech|0.03-0.04|0.05-0.06|0.07-0.08|0.09-0.11|0.12-0.15|0.18-0.23|0.24-0.3
Spell Damage and Reduced Mana Cost|506|INCREASED|Damage|0.05-0.1|0.11-0.2|0.21-0.3|0.31-0.4|0.41-0.5|0.6-0.75|0.76-1|ADDED|ManaCost|-3--3|-3--3|-3--3|-3--3|-3--3|-4--4|-5--5
Throwing Damage and Reduced Mana Cost|507|ADDED|Damage|3-4|5-6|7-8|9-10|11-13|17-21|22-26|ADDED|ManaCost|-3--3|-3--3|-3--3|-3--3|-3--3|-4--4|-5--5
Idol Mage Increased Mana And Armor|129||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Idol Primalist Shared Melee Bleed Chance|160||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Idol Primalist Shared Bleed Duration|161||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Idol Primalist Shared Crit Avoidance|162||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Idol Primalist Shared Increased Critical Strike Chance With Lightning Skills|168||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Idol Primalist Increased Cold And Lightning Damage|169||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Idol Primalist Shared Increased Spell Damage|170||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Idol Primalist Shared Increased Melee Damage|171||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Idol Primalist Increased Physical And Poison Damage|172||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Idol Primalist Shared Increased Damage Over Time|173||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Idol Mage Increased Ignite And Spreading Flames Duration|167||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Idol Sentinel Shared Damage Reflect|210||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Idol Acolyte Less Health Regen And Damage Taken Over Time|267||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Idol Acolyte Plague Chance And Penetration|291||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Idol Acolyte Shared Increased Critical Strike Chance|297||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Idol Sentinel Critical Strike Multiplier With Rive And Judgement|305||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Idol Sentinel Increased Area With Rive And Forge Strike|306||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Idol Sentinel Increased Damage With Vengeance And Smite|307||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Idol Acolyte Increased Marrow Shards And Bone Nova Projectile Speed|302||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Idol Acolyte Increased Damage With Rip Blood And Blood Splatter|312||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Idol Acolyte Critical Strike Chance For Skeletons And Skeletal Mages|313||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Idol Acolyte Damage Reflected For Skeletons And Skeletal Mages|314||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Idol Shared Physical Damage|319||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Idol Shared Lightning Damage|320||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Idol Shared Cold Damage|321||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Idol Shared Fire Damage|322||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Idol Shared Void Damage|323||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Idol Shared Necrotic Damage|324||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Idol Shared Poison Damage|325||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Idol Mage Increased Volcanic Orb Damage And Reduced Speed|246||x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x|x
Hybrid Health|36|ADDED|Health|14-21|22-29|30-37|38-45|46-68|85-105|106-135|INCREASED|Health|0.03-0.03|0.03-0.03|0.04-0.04|0.04-0.04|0.05-0.05|0.06-0.07|0.08-0.1
Primalist Armour And Minion Armour|332|ADDED|Armour|40-59|60-79|80-99|100-119|120-150|190-230|231-300|ADDED|Armour|40-59|60-79|80-99|100-119|120-150|190-230|231-300
Primalist Shared Lightning Damage|333|INCREASED|Damage|0.25-0.27|0.28-0.3|0.31-0.33|0.34-0.36|0.37-0.5|0.6-0.75|0.76-1|INCREASED|Damage|0.25-0.27|0.28-0.3|0.31-0.33|0.34-0.36|0.37-0.5|0.6-0.75|0.76-1
Primalist Shared Cold Damage|340|INCREASED|Damage|0.25-0.27|0.28-0.3|0.31-0.33|0.34-0.36|0.37-0.5|0.6-0.75|0.76-1|INCREASED|Damage|0.25-0.27|0.28-0.3|0.31-0.33|0.34-0.36|0.37-0.5|0.6-0.75|0.76-1
Primalist Shared Bleed Duration|343|ADDED|IncreasedAilmentDuration|0.18-0.19|0.2-0.21|0.22-0.23|0.24-0.25|0.26-0.35|0.44-0.55|0.56-0.7|ADDED|IncreasedAilmentDuration|0.18-0.19|0.2-0.21|0.22-0.23|0.24-0.25|0.26-0.35|0.44-0.55|0.56-0.7
Primalist Shared Increased Spell Damage|344|INCREASED|Damage|0.25-0.27|0.28-0.3|0.31-0.33|0.34-0.36|0.37-0.5|0.6-0.75|0.76-1|INCREASED|Damage|0.25-0.27|0.28-0.3|0.31-0.33|0.34-0.36|0.37-0.5|0.6-0.75|0.76-1
Primalist Shared Increased Melee Damage|345|INCREASED|Damage|0.25-0.27|0.28-0.3|0.31-0.33|0.34-0.36|0.37-0.5|0.6-0.75|0.76-1|INCREASED|Damage|0.25-0.27|0.28-0.3|0.31-0.33|0.34-0.36|0.37-0.5|0.6-0.75|0.76-1
Sentinel Increased Physical Damage And Bleed Duration|360|INCREASED|Damage|0.25-0.28|0.29-0.32|0.33-0.36|0.37-0.4|0.41-0.5|0.6-0.7|0.71-0.9|ADDED|IncreasedAilmentDuration|0.15-0.15|0.16-0.16|0.17-0.18|0.19-0.2|0.21-0.24|0.28-0.34|0.35-0.42
Sentinel Increased Fire Damage And Ignite Duration|361|INCREASED|Damage|0.25-0.28|0.29-0.32|0.33-0.36|0.37-0.4|0.41-0.5|0.6-0.7|0.71-0.9|ADDED|IncreasedAilmentDuration|0.15-0.15|0.16-0.16|0.17-0.18|0.19-0.2|0.21-0.24|0.28-0.34|0.35-0.42
Sentinel Increased Void Damage And Added Spell Void Damage|362|INCREASED|Damage|0.3-0.33|0.34-0.37|0.38-0.41|0.42-0.46|0.47-0.6|0.7-0.85|0.86-1.1|ADDED|Damage|4-4|4-4|5-5|5-5|6-7|9-11|12-14
Flame Ward Charge and Added Ward|397|ADDED|AbilityProperty|20-21|22-23|24-26|27-30|31-38|60-75|76-100|ADDED|AbilityProperty|1-1|1-1|1-1|1-1|1-1|1-1|1-1
