AffixName|AffixID|AffixTitle|canRollOn|rerollChance|T1|T2|T3|T4|T5|T6|T7|Type|HueShift|Saturation|Group
Idol Mage Chance To Cast Lightning Blast When Hit While You Have Lightning Aegis|251|Charged|IDOL_2x2|0.5|0.09-0.2|||||||PREFIX|0|0|PassiveDefense
Idol Mage Increased Lightning Damage While You Have Lightning Aegis|252|Capacitive|IDOL_2x2|0.5|0.24-0.7|||||||PREFIX|0|0|PassiveDefense
Idol Mage Chance To Cast Fire Aura On Kill With Fire Skills|253|Escalating|IDOL_1x3|0|0.07-0.2|||||||PREFIX|0|0|PassiveDefense
Idol Mage Increased Lightning Damage Doubled Over 300 Max Mana|254|of Electromancy|IDOL_3x1,IDOL_4x1,IDOL_2x2|0|0.16-0.4|||||||SUFFIX|0|0|PassiveDefense
Idol Mage Increased Cold Damage Doubled Over 300 Max Mana|255|of Cryomancy|IDOL_1x3,IDOL_1x4|0|0.16-0.4|||||||SUFFIX|0|0|PassiveDefense
Idol Mage Increased Fire Damage Doubled Over 300 Max Mana|256|of Pyromancy|IDOL_3x1,IDOL_4x1,IDOL_2x2|0|0.16-0.4|||||||SUFFIX|0|0|PassiveDefense
Idol Acolyte Increased Health|257|Vigorous|IDOL_1x3|0|0.05-0.14|||||||PREFIX|0|0|PassiveDefense
Idol Acolyte Poison Chance While At Low Health|258|of Attrition|IDOL_3x1,IDOL_4x1|0|0.15-0.4|||||||SUFFIX|0|0|PassiveDefense
Idol Acolyte Increased Damage Over Time While At Low Health|259|Cursed|IDOL_2x2|0|0.26-0.7|||||||PREFIX|0|0|PassiveDefense
Idol Acolyte Chance To Apply Damned|260|Baneful|IDOL_3x1|0|0.13-0.36|||||||PREFIX|0|0|PassiveDefense
Idol Acolyte Increased Damage While Transformed|261|Abominable|IDOL_4x1|0|0.26-0.7|||||||PREFIX|0|0|PassiveDefense
Idol Acolyte Less Damage Over Time Taken While Transformed|262|Abiding|IDOL_1x3|0|-0.05--0.12|||||||PREFIX|0|0|PassiveDefense
Idol Acolyte Damage Leeched As Health While Transformed|263|Siphoning|NONE|0|0.1-0.3|||||||PREFIX|0|0|PassiveDefense
Idol Acolyte Reduced Health Cost Of Spells|264|Anemic|IDOL_1x3|0|0.06-0.15|||||||PREFIX|0|0|PassiveDefense
Idol Acolye Chance To Chill With Necrotic Skills|265|Blighted|IDOL_1x3|0|0.16-0.42|||||||PREFIX|0|0|PassiveDefense
Idol Acolyte Increased Aura Of Decay Area|266|Contaminated|IDOL_1x4|0|0.1-0.3|||||||PREFIX|0|0|PassiveDefense
Idol Acolyte Less Health Regen And Damage Taken Over Time|267|of Coagulation|IDOL_3x1,IDOL_4x1|0|-0.04--0.1|||||||SUFFIX|0|0|PassiveDefense
Idol Acolyte Armor Granted By Bone Armor|268|Osseous|IDOL_3x1|0|60-200|||||||PREFIX|0|0|PassiveDefense
Idol Acolyte Increased Healing Effectiveness|269|Resurgent|IDOL_2x2|0.5|0.32-0.7|||||||PREFIX|0|0|PassiveDefense
Idol Sentinel Increased Warpath Area|270|Warlord's|IDOL_3x1|0|0.1-0.3|||||||PREFIX|0|0|PassiveDefense
Idol Sentinel Time Rot Chance|271|of Rot|IDOL_3x1,IDOL_4x1|0|0.11-0.3|||||||SUFFIX|0|0|PassiveDefense
Idol Sentinel Chance To Cast Void Rift On Kill|272|Hollow|IDOL_1x3|0|0.04-0.1|||||||PREFIX|0|0|PassiveDefense
Idol Sentinel Chance To Create Void Essence On Kill|273|Substantial|IDOL_4x1|0|0.04-0.1|||||||PREFIX|0|0|PassiveDefense
Idol Sentinel Increased Area of Void Cleave|274|Dark Forging|IDOL_4x1|0|0.18-0.4|||||||PREFIX|0|0|PassiveDefense
Idol Sentinel Chance To Cast Divine Bolt On 0 Cost Skill Use|275|Faithful|IDOL_1x4|0|0.04-0.13|||||||PREFIX|0|0|PassiveDefense
Idol Sentinel Chance To Cast Smite On Throwing Attack Hit|276|Keen|IDOL_2x2|0|0.04-0.09|||||||PREFIX|0|0|PassiveDefense
Idol Sentinel Health Gained When Stunned|277|Penitent|IDOL_1x4|0|56-150|||||||PREFIX|0|0|PassiveDefense
Idol Sentinel Increased Echo Damage When A Skill Echoes|278|Chronophage's|IDOL_4x1|0|0.4-1.5|||||||PREFIX|0|0|PassiveDefense
Idol Sentinel Increased Void Damage For 4 Seconds When a Skill Echoes|279|Spiteful|IDOL_2x2|0|0.3-0.8|||||||PREFIX|0|0|PassiveDefense
Idol Sentinel Increased Melee Damage For 4 Seconds When a Skill Echoes|280|Vindictive|IDOL_2x2|0|0.25-0.65|||||||PREFIX|0|0|PassiveDefense
Idol Sentinel Chance To Gain Inspiration On Kills With Void Skills|281|Inspiring|IDOL_1x3|0|0.12-0.35|||||||PREFIX|0|0|PassiveDefense
Idol Sentinel Increased Damage After Casting Devouring Orb|282|Annihilating|IDOL_1x4|0|0.22-0.6|||||||PREFIX|0|0|PassiveDefense
Idol Sentinel Increased Abyssal Decay Duration|283|Deep|IDOL_3x1|0|0.12-0.24|||||||PREFIX|0|0|PassiveDefense
Idol Acolye Chance To Fear On Hit|284|of Terror|IDOL_1x3,IDOL_1x4,IDOL_2x2|0|0.06-0.2|||||||SUFFIX|0|0|PassiveDefense
Idol Acolyte Increased Ward Retention|285|of Preservation|IDOL_1x3,IDOL_1x4,IDOL_2x2|0|0.13-0.3|||||||SUFFIX|0|0|PassiveDefense
Idol Acolyte Minion Increased Cooldown Recovery Speed|286|of Insight|IDOL_1x3,IDOL_1x4,IDOL_2x2|0|0.12-0.35|||||||SUFFIX|0|0|PassiveDefense
Idol Acolyte Minion Chance To Mark For Death On Hit|287|of Condemnation|IDOL_1x3,IDOL_1x4,IDOL_2x2|0|0.04-0.1|||||||SUFFIX|0|0|PassiveDefense
Idol Acolyte Minion Chance To Plague On Hit|288|Infected|IDOL_3x1|0|0.04-0.1|||||||PREFIX|0|0|PassiveDefense
Idol Acolyte Less Damage Over Time Taken|289|of Suspension|IDOL_3x1,IDOL_4x1|0|-0.04--0.09|||||||SUFFIX|0|0|PassiveDefense
Idol Acolyte Physical Spell Bleed Chance|290|of Slicing|IDOL_3x1,IDOL_4x1|0|0.22-0.6|||||||SUFFIX|0|0|PassiveDefense
Idol Acolyte Plague Chance And Penetration|291|Scourging|IDOL_1x3|0|0.09-0.25|||||||PREFIX|0|0|PassiveDefense
Idol Acolyte Increased Spell Damage While At Low Health|292|of Bloodwrath|IDOL_3x1,IDOL_4x1|0|0.2-0.75|||||||SUFFIX|0|0|PassiveDefense
Idol Acolyte Minion Increased Fire Damage|293|Cremating|IDOL_3x1|0|0.39-1.08|||||||PREFIX|0|0|PassiveDefense
Idol Acolyte Minion Increased Cold Damage|294|Brittle|IDOL_3x1|0|0.39-1.08|||||||PREFIX|0|0|PassiveDefense
Idol Acolyte Increased Physical Spell Critical Strike Chance|295|of Impact|IDOL_1x3,IDOL_1x4,IDOL_2x2|0|0.24-0.65|||||||SUFFIX|0|0|PassiveDefense
Idol Acolyte Spell Poison Chance|296|of Putridity|IDOL_1x3,IDOL_1x4,IDOL_2x2|0|0.15-0.36|||||||SUFFIX|0|0|PassiveDefense
Idol Acolyte Shared Increased Critical Strike Chance|297|of Cruelty|IDOL_1x3,IDOL_1x4,IDOL_2x2|0|0.15-0.4|||||||SUFFIX|0|0|PassiveDefense
Idol Sentinel Sigil Duration|298|Sealed|IDOL_1x4|0|3-6|||||||PREFIX|0|0|PassiveDefense
Idol Sentinel Chance for +30 Throwing Fire Damage with Shield Throw|299|Burning|IDOL_3x1|0|0.15-0.4|||||||PREFIX|0|0|PassiveDefense
Idol Sentinel Shield Throw Damage Converted to Void|300|Blackfire|IDOL_1x3|0|1-1|||||||PREFIX|0|0|PassiveDefense
Idol Sentinel Lightning Damage With Hammer Throw|301|Enchanted|IDOL_3x1|0|4-12|||||||PREFIX|0|0|PassiveDefense
Idol Acolyte Increased Marrow Shards And Bone Nova Projectile Speed|302|Fractured|IDOL_1x4|0|0.1-0.3|||||||PREFIX|0|0|PassiveDefense
Idol Acolyte Chance To Cast Poison Nova When Hit|303|Pustulent|IDOL_2x2|0|0.04-0.1|||||||PREFIX|0|0|PassiveDefense
Idol Acolyte Chance For Hungering Souls To Fire Additional Projectiles|304|Forbidden|IDOL_4x1|0|0.08-0.25|||||||PREFIX|0|0|PassiveDefense
Idol Sentinel Critical Strike Multiplier With Rive And Judgement|305|Judicator's|IDOL_4x1|0|0.17-0.45|||||||PREFIX|0|0|PassiveDefense
Idol Sentinel Increased Area With Rive And Forge Strike|306|Broad|IDOL_4x1|0|0.11-0.3|||||||PREFIX|0|0|PassiveDefense
Idol Sentinel Increased Damage With Vengeance And Smite|307|Wrathful|IDOL_1x3|0|0.3-0.8|||||||PREFIX|0|0|PassiveDefense
Idol Acolyte Transplant Increased Cooldown Recovery Speed|308|of Hemomancy|IDOL_3x1,IDOL_4x1|0|0.07-0.15|||||||SUFFIX|0|0|PassiveDefense
Idol Acolyte Necrotic Spell Damage Per Skeletal Mage|309|Cultist's|IDOL_1x4|0|1-2|||||||PREFIX|0|0|PassiveDefense
Idol Acolyte Ward On Kill|310|of Rapacity|IDOL_3x1,IDOL_4x1|0|5-13|||||||SUFFIX|0|0|PassiveDefense
Idol Acolyte Chance To Gain Ward On Kill With Hungering Souls|311|Binding|IDOL_1x3|0|0.25-0.6|||||||PREFIX|0|0|PassiveDefense
Idol Acolyte Increased Damage With Rip Blood And Blood Splatter|312|Grisly|IDOL_2x2|0|0.28-0.75|||||||PREFIX|0|0|PassiveDefense
Idol Acolyte Critical Strike Chance For Skeletons And Skeletal Mages|313|Precise|IDOL_3x1|0|0.01-0.03|||||||PREFIX|0|0|PassiveDefense
Idol Acolyte Damage Reflected For Skeletons And Skeletal Mages|314|Barbed|IDOL_1x4|0|0.07-0.18|||||||PREFIX|0|0|PassiveDefense
Idol Acolyte Chance For Summon Wraith To Summon Putrid Wraith|315|Repulsive|IDOL_2x2|0|0.25-0.6|||||||PREFIX|0|0|PassiveDefense
Idol Acolyte Chance For Summon Wraith To Summon Flame Wraith|316|Ashen|IDOL_2x2|0|0.25-0.6|||||||PREFIX|0|0|PassiveDefense
Idol Acolyte Chance To Cast Marrow Shards When You Cast Transplant|317|Insatiable|IDOL_1x4|0|0.07-0.17|||||||PREFIX|0|0|PassiveDefense
Idol Acolyte Poison Damage during Aura of Decay|318|Vile|IDOL_4x1|0|0.6-1|||||||PREFIX|0|0|PassiveDefense
Idol Shared Physical Damage|319|of Iron|IDOL_1x1_ETERRA,IDOL_2x1,IDOL_3x1,IDOL_4x1|0|0.17-0.45|||||||SUFFIX|0|0|PassiveDefense
Idol Shared Lightning Damage|320|of Storms|IDOL_1x1_LAGON,IDOL_1x2,IDOL_1x3,IDOL_1x4|0|0.17-0.45|||||||SUFFIX|0|0|PassiveDefense
Idol Shared Cold Damage|321|of Ice|IDOL_1x1_LAGON,IDOL_1x2,IDOL_1x3,IDOL_1x4|0|0.17-0.45|||||||SUFFIX|0|0|PassiveDefense
Idol Shared Fire Damage|322|of Fire|IDOL_1x1_LAGON,IDOL_1x2,IDOL_1x3,IDOL_1x4|0|0.17-0.45|||||||SUFFIX|0|0|PassiveDefense
Idol Shared Void Damage|323|of Doom|IDOL_1x1_ETERRA,IDOL_2x1,IDOL_3x1,IDOL_4x1|0.2|0.17-0.45|||||||SUFFIX|0|0|PassiveDefense
Idol Shared Necrotic Damage|324|of Souls|IDOL_1x1_ETERRA,IDOL_2x1,IDOL_3x1,IDOL_4x1|0|0.17-0.45|||||||SUFFIX|0|0|PassiveDefense
Idol Shared Poison Damage|325|of Poison|IDOL_1x1_ETERRA,IDOL_2x1,IDOL_3x1,IDOL_4x1|0|0.17-0.45|||||||SUFFIX|0|0|PassiveDefense
Idol Sentinel Increased Melee Void Damage|326|of Despair|IDOL_3x1,IDOL_4x1|0|0.33-0.9|||||||SUFFIX|0|0|PassiveDefense
Idol Mage Spark Charge on Melee Hit|327|of Liath|IDOL_3x1,IDOL_4x1|0|0.08-0.25|||||||SUFFIX|0|0|PassiveDefense
Idol Mage Mana Spent Gained as Ward|328|of Energy|IDOL_3x1,IDOL_4x1|0|0.1-0.35|||||||SUFFIX|0|0|PassiveDefense
Idol Primalist Increased Totem Damage|329|of Reverence|IDOL_1x3,IDOL_1x4|0|0.3-0.8|||||||SUFFIX|0|0|PassiveDefense
Increased Mana Regen|330|Rejuvenating|RING,RELIC,BELT,AMULET|0|0.1-0.14|0.15-0.19|0.2-0.24|0.25-0.29|0.3-0.35|0.4-0.45|0.46-0.55|PREFIX|0.708|0|OffensiveAddition
Increased Mana|331|Azure|HELMET,BODY_ARMOR|0|0.04-0.04|0.05-0.05|0.06-0.06|0.07-0.07|0.08-0.1|0.12-0.15|0.16-0.2|PREFIX|0.572|-0.45|OffensiveIncrease
Primalist Armour And Minion Armour|332||HELMET,BODY_ARMOR|0.89|40-59|60-79|80-99|100-119|120-150|190-230|231-300|PREFIX|0.207|-0.9|Hybrid
Primalist Shared Lightning Damage|333||HELMET,BODY_ARMOR|0.89|0.25-0.27|0.28-0.3|0.31-0.33|0.34-0.36|0.37-0.5|0.6-0.75|0.76-1|PREFIX|0.56|0|Hybrid
Primalist Totem Added Spell Damage|334||HELMET,BODY_ARMOR|0.89|6-6|7-7|8-8|9-10|11-14|18-22|23-28|PREFIX|0.486|-0.646|OffensiveAddition
Primalist Cooldown Recovery Speed While Transformed|335||HELMET|0.89|0.06-0.07|0.08-0.09|0.1-0.11|0.12-0.13|0.14-0.16|0.19-0.21|0.22-0.25|PREFIX|0.605|-0.351|OffensiveAddition
Primalist Minion Crit Multiplier|336||HELMET,BODY_ARMOR|0.89|0.15-0.15|0.16-0.17|0.18-0.2|0.21-0.23|0.24-0.29|0.36-0.44|0.45-0.55|PREFIX|0.062|0|OffensiveAddition
Primalist Minion Spell Crit Chance|337||HELMET,BODY_ARMOR|0.89|0.3-0.33|0.34-0.37|0.38-0.42|0.43-0.47|0.48-0.57|0.7-0.85|0.86-1.05|PREFIX|0.677|-0.41|OffensiveIncrease
Primalist Criti Multi While Transformed|338||HELMET,BODY_ARMOR|0.89|0.15-0.15|0.16-0.17|0.18-0.2|0.21-0.23|0.24-0.29|0.36-0.44|0.45-0.55|PREFIX|0.023|-0.25|OffensiveAddition
Mage Cold Penetration With Frostbite|339||HELMET,BODY_ARMOR|0.89|0.2-0.21|0.22-0.23|0.24-0.25|0.26-0.28|0.29-0.4|0.5-0.6|0.61-0.8|PREFIX|0.583|-0.62|OffensiveIncrease
Primalist Shared Cold Damage|340||BODY_ARMOR,HELMET|0.89|0.25-0.27|0.28-0.3|0.31-0.33|0.34-0.36|0.37-0.5|0.6-0.75|0.76-1|PREFIX|0.589|-0.75|Hybrid
Freeze Rate Per Stack of Chill|341|Boreal|HELMET,BODY_ARMOR|0.8|0.3-0.33|0.34-0.37|0.38-0.42|0.43-0.47|0.48-0.57|0.7-0.85|0.86-1.05|PREFIX|0.553|-0.86|ActiveDefense
Primalist Totem Increased Cast Speed|342||HELMET,BODY_ARMOR|0.89|0.08-0.09|0.1-0.11|0.12-0.13|0.14-0.15|0.16-0.19|0.24-0.28|0.29-0.36|PREFIX|0.063|-0.45|OffensiveIncrease
Primalist Shared Bleed Duration|343||HELMET,BODY_ARMOR|0.89|0.18-0.19|0.2-0.21|0.22-0.23|0.24-0.25|0.26-0.35|0.44-0.55|0.56-0.7|PREFIX|0.025|0|Hybrid
Primalist Shared Increased Spell Damage|344||HELMET,BODY_ARMOR|0.89|0.25-0.27|0.28-0.3|0.31-0.33|0.34-0.36|0.37-0.5|0.6-0.75|0.76-1|PREFIX|0.775|-0.321|Hybrid
Primalist Shared Increased Melee Damage|345||HELMET,BODY_ARMOR|0.89|0.25-0.27|0.28-0.3|0.31-0.33|0.34-0.36|0.37-0.5|0.6-0.75|0.76-1|PREFIX|0.124|0.721|Hybrid
Primalist Minion Melee Leech|346||BODY_ARMOR,HELMET|0.89|0.4-0.49|0.5-0.59|0.6-0.69|0.7-0.79|0.8-1.1|1.35-1.6|1.61-2.1|PREFIX|0.023|0.185|PassiveDefense
Primalist Minion Chance To Bleed On Hit|347||HELMET,BODY_ARMOR|0.89|0.3-0.34|0.35-0.39|0.4-0.44|0.45-0.51|0.52-0.62|0.75-0.9|0.91-1.1|PREFIX|0|1|OffensiveAddition
Primalist Minion Melee Crit Chance|348||BODY_ARMOR|0.89|0.03-0.03|0.04-0.04|0.05-0.05|0.06-0.06|0.07-0.08|0.1-0.12|0.13-0.15|PREFIX|0.156|0.507|OffensiveAddition
Primalist Melee Damage While Transformed|349||HELMET,BODY_ARMOR|0.89|0.3-0.33|0.34-0.37|0.38-0.42|0.43-0.47|0.48-0.57|0.7-0.85|0.86-1.05|PREFIX|0.848|0.129|OffensiveIncrease
Primalist Spell Damage While Transformed|350||HELMET,BODY_ARMOR|0.89|0.3-0.33|0.34-0.37|0.38-0.42|0.43-0.47|0.48-0.57|0.7-0.85|0.86-1.05|PREFIX|0.587|-0.129|OffensiveIncrease
Primalist Damage Over Time While Transformed|351||BODY_ARMOR,HELMET|0.89|0.3-0.33|0.34-0.37|0.38-0.42|0.43-0.47|0.48-0.57|0.7-0.85|0.86-1.05|PREFIX|0.314|0|OffensiveIncrease
Primalist Increased Totem Crit Chance |352||BODY_ARMOR,HELMET|0.89|0.45-0.51|0.52-0.58|0.59-0.65|0.66-0.72|0.73-0.95|1.15-1.4|1.41-1.8|PREFIX|0.117|0|OffensiveIncrease
Primalist Increased Aspect Of The Shark Effect|353||HELMET,BODY_ARMOR|0.89|0.12-0.13|0.14-0.15|0.16-0.17|0.18-0.19|0.2-0.25|0.3-0.36|0.37-0.46|PREFIX|0.567|-0.624|OffensiveIncrease
Primalist Increased Aspect Of The Boar Duration|354||HELMET,BODY_ARMOR|0.89|0.25-0.27|0.28-0.3|0.31-0.33|0.34-0.36|0.37-0.45|0.55-0.65|0.66-0.85|PREFIX|0.18|0.796|ActiveDefense
Primalist Increased Aspect Of The Viper Effect|355||HELMET,BODY_ARMOR|0.89|0.2-0.22|0.23-0.25|0.26-0.28|0.29-0.31|0.32-0.39|0.46-0.55|0.56-0.7|PREFIX|0.324|0.57|OffensiveIncrease
Primalist Increased Aspect Of The Lynx Effect|356||HELMET,BODY_ARMOR|0.89|0.12-0.13|0.14-0.15|0.16-0.17|0.18-0.19|0.2-0.25|0.3-0.36|0.37-0.46|PREFIX|0.539|-0.684|OffensiveIncrease
Primalist Increased Totem Damage|357||HELMET,BODY_ARMOR|0.89|0.3-0.33|0.34-0.37|0.38-0.42|0.43-0.47|0.48-0.57|0.7-0.85|0.86-1.05|PREFIX|0.092|0.716|OffensiveIncrease
Sentinel Physical Penetration With Bleed|358||BODY_ARMOR,HELMET|0.89|0.25-0.27|0.28-0.3|0.31-0.33|0.34-0.36|0.37-0.45|0.55-0.65|0.66-0.85|PREFIX|0.012|0.764|OffensiveIncrease
Sentinel Melee Physical Damage If Wielding A Sword|359||HELMET,BODY_ARMOR|0.89|6-6|7-7|8-8|9-10|11-13|17-21|22-26|PREFIX|0.545|-0.928|OffensiveAddition
Sentinel Increased Physical Damage And Bleed Duration|360||HELMET,BODY_ARMOR|0.89|0.25-0.28|0.29-0.32|0.33-0.36|0.37-0.4|0.41-0.5|0.6-0.7|0.71-0.9|PREFIX|0.994|-0.16|Hybrid
Sentinel Increased Fire Damage And Ignite Duration|361||HELMET,BODY_ARMOR|0.89|0.25-0.28|0.29-0.32|0.33-0.36|0.37-0.4|0.41-0.5|0.6-0.7|0.71-0.9|PREFIX|0.089|0.18|Hybrid
Sentinel Increased Void Damage And Added Spell Void Damage|362||HELMET,BODY_ARMOR|0.89|0.3-0.33|0.34-0.37|0.38-0.41|0.42-0.46|0.47-0.6|0.7-0.85|0.86-1.1|PREFIX|0.725|0.343|OffensiveAddition
Sentinel Chance To Bleed If Wielding An Axe|363||HELMET,BODY_ARMOR|0.89|0.2-0.23|0.24-0.27|0.28-0.31|0.32-0.35|0.36-0.43|0.5-0.6|0.61-0.8|PREFIX|0.903|0.55|OffensiveAddition
Sentinel Melee Physical Damage If Wielding A Mace|364||HELMET,BODY_ARMOR|0.89|10-10|11-11|12-12|13-13|14-17|21-26|27-32|PREFIX|0.55|-0.279|OffensiveAddition
Sentinel Void Damage Taken As Physical|365||HELMET,BODY_ARMOR|0.89|0.18-0.19|0.2-0.21|0.22-0.23|0.24-0.25|0.26-0.3|0.36-0.44|0.45-0.55|PREFIX|0.707|-0.507|PassiveDefense
Sentinel Necrotic Damage Taken As Physical|366||HELMET,BODY_ARMOR|0.89|0.18-0.19|0.2-0.21|0.22-0.23|0.24-0.25|0.26-0.3|0.36-0.44|0.45-0.55|PREFIX|0.486|-0.393|PassiveDefense
Sentinel Poison Damage Taken As Physical|367||HELMET,BODY_ARMOR|0.89|0.18-0.19|0.2-0.21|0.22-0.23|0.24-0.25|0.26-0.3|0.36-0.44|0.45-0.55|PREFIX|0.336|-0.386|PassiveDefense
Sentinel Increased Throwing Attack Crit Chance|368||HELMET,BODY_ARMOR|0.89|0.45-0.51|0.52-0.58|0.59-0.65|0.66-0.72|0.73-0.95|1.15-1.4|1.41-1.8|PREFIX|0.132|0.422|OffensiveIncrease
Sentinel Reduced Channel Cost|369||HELMET|0.89|-0.12--0.15|-0.16--0.19|-0.2--0.23|-0.24--0.27|-0.28--0.32|-0.36--0.4|-0.41--0.45|PREFIX|0.754|-0.564|Hybrid
Sentinel Armor Shred Effect|370||HELMET,BODY_ARMOR|0.89|0.45-0.51|0.52-0.58|0.59-0.65|0.66-0.72|0.73-0.95|1.2-1.5|1.51-1.9|PREFIX|0.097|-0.386|OffensiveIncrease
Sentinel Increased Fire Damage Over Time|371||HELMET,BODY_ARMOR|0.89|0.4-0.45|0.46-0.51|0.52-0.57|0.58-0.63|0.64-0.75|0.9-1.1|1.11-1.4|PREFIX|0.104|0.893|OffensiveIncrease
Sentinel Increased Void Damage Over Time|372||HELMET,BODY_ARMOR|0.89|0.4-0.45|0.46-0.51|0.52-0.57|0.58-0.63|0.64-0.75|0.9-1.1|1.11-1.4|PREFIX|0.686|-0.379|OffensiveIncrease
Sentinel Increased Echo Damage When A Skill Echoes|373||HELMET,BODY_ARMOR|0.89|0.6-0.72|0.73-0.85|0.86-0.98|0.99-1.1|1.11-1.25|1.5-1.8|1.81-2.2|PREFIX|0.736|-0.329|OffensiveIncrease
Sentinel Increased Abyssal Decay Duration|374||HELMET,BODY_ARMOR|0.89|0.12-0.17|0.18-0.23|0.24-0.29|0.3-0.34|0.35-0.45|0.55-0.65|0.66-0.85|PREFIX|0.525|-0.386|OffensiveIncrease
Sentinel Mana Gained On Vengeance Hit|375||BODY_ARMOR|0.89|3-3|4-4|5-5|6-6|7-9|11-13|14-17|PREFIX|0.561|-0.393|Hybrid
Sentinel Mana Gained On Rive Hit|376||HELMET|0.89|3-3|4-4|5-5|6-6|7-9|11-13|14-17|PREFIX|0.561|-0.393|Hybrid
Sentinel Mana Gained On Smite Use|377||HELMET|0.89|4-4|5-5|6-6|7-7|8-10|12-14|15-18|PREFIX|0.561|-0.393|Hybrid
Sentinel Increased Hammer Throw Damage|378||HELMET,BODY_ARMOR|0.89|0.3-0.33|0.34-0.37|0.38-0.42|0.43-0.47|0.48-0.58|0.7-0.85|0.86-1.05|PREFIX|0.189|0.271|OffensiveIncrease
Sentinel Increased Shield Throw Crit Chance|379||HELMET,BODY_ARMOR|0.89|0.45-0.51|0.52-0.58|0.59-0.65|0.66-0.72|0.73-0.95|1.15-1.4|1.41-1.8|PREFIX|0.593|-0.7|OffensiveIncrease
Sentinel Increased Smelters Wrath Damage|380||HELMET,BODY_ARMOR|0.89|0.3-0.33|0.34-0.37|0.38-0.42|0.43-0.47|0.48-0.58|0.7-0.85|0.86-1.05|PREFIX|0.1|0.886|OffensiveIncrease
Mage Spell Crit Doubled Over 300 Max Mana|381||HELMET,BODY_ARMOR|0.89|0.3-0.33|0.34-0.37|0.38-0.42|0.43-0.47|0.48-0.58|0.7-0.85|0.86-1.05|PREFIX|0.607|-0.307|OffensiveIncrease
Mage Ward Per Second|382||HELMET,BODY_ARMOR|0.89|6-6|7-7|8-8|9-10|11-14|18-22|23-28|PREFIX|0.532|-0.7|PassiveDefense
Mage Added Spell Damage While Channelling|383||HELMET,BODY_ARMOR|0.89|6-6|7-7|8-8|9-10|11-13|17-21|22-26|PREFIX|0.393|0|OffensiveAddition
Acolyte Minion Freeze Rate|384||HELMET,BODY_ARMOR|0.89|0.5-0.69|0.7-0.89|0.9-1.09|1.1-1.39|1.4-1.9|2.4-3|3.01-3.8|PREFIX|0.557|-0.707|Hybrid
Mage Lightning Crit Multi|385||HELMET,BODY_ARMOR|0.89|0.16-0.17|0.18-0.19|0.2-0.21|0.22-0.23|0.24-0.29|0.34-0.4|0.41-0.5|PREFIX|0.614|-0.036|OffensiveAddition
Mage Spell Damage Leeched While Channelling|386||HELMET,BODY_ARMOR|0.89|0.2-0.26|0.27-0.33|0.34-0.4|0.41-0.47|0.48-0.57|0.7-0.85|0.86-1.05|PREFIX|0.878|-0.107|ActiveDefense
Mage Chance To Apply Frostbite With Cold Skills|387||HELMET,BODY_ARMOR|0.89|0.4-0.44|0.45-0.49|0.5-0.54|0.55-0.59|0.6-0.77|0.95-1.15|1.16-1.4|PREFIX|0.532|-0.35|Hybrid
Mage Increased Cold Damage Over Time|388||HELMET,BODY_ARMOR|0.89|0.4-0.45|0.46-0.51|0.52-0.57|0.58-0.63|0.64-0.75|0.9-1.1|1.11-1.4|PREFIX|0.504|-0.442|OffensiveIncrease
Mage Increased Fire Damage Over Time|389||HELMET,BODY_ARMOR|0.89|0.4-0.45|0.46-0.51|0.52-0.57|0.58-0.63|0.64-0.75|0.9-1.1|1.11-1.4|PREFIX|0.104|0.893|OffensiveIncrease
Mage Increased Melee Elemental Damage|390||HELMET,BODY_ARMOR|0.89|0.3-0.33|0.34-0.37|0.38-0.43|0.43-0.48|0.48-0.57|0.7-0.85|0.86-1.1|PREFIX|0.868|0.614|OffensiveIncrease
Mage Chance To Ignite With Fire Skills|391||HELMET,BODY_ARMOR|0.89|0.4-0.44|0.45-0.49|0.5-0.54|0.55-0.59|0.6-0.77|0.95-1.15|1.16-1.4|PREFIX|0.079|0.95|PassiveDefense
Mage Chance To Shock With Lightning Skills|392||HELMET,BODY_ARMOR|0.89|0.4-0.44|0.45-0.49|0.5-0.54|0.55-0.59|0.6-0.77|0.95-1.15|1.16-1.4|PREFIX|0.168|0.95|PassiveDefense
Mage Chance To Cast Fire Aura On Crit|393||HELMET,BODY_ARMOR|0.89|0.06-0.06|0.07-0.07|0.08-0.08|0.09-0.1|0.11-0.13|0.16-0.2|0.21-0.26|PREFIX|0.089|0.564|OffensiveAbility
Mage Increased Fire Aura Damage|394||HELMET,BODY_ARMOR|0.89|0.6-0.72|0.73-0.85|0.86-0.98|0.99-1.1|1.12-1.25|1.5-1.8|1.81-2.2|PREFIX|0.029|0.993|OffensiveIncrease
Mage Chance To Gain Lightning Aegis When Hit|395||BODY_ARMOR|0.89|0.06-0.06|0.07-0.07|0.08-0.08|0.09-0.1|0.11-0.13|0.16-0.2|0.21-0.26|PREFIX|0.736|-0.378|Retaliation
Mage Chance To Cast Fire Aura When Hit|396||HELMET,BODY_ARMOR|0.89|0.06-0.06|0.07-0.07|0.08-0.08|0.09-0.1|0.11-0.13|0.16-0.2|0.21-0.26|PREFIX|0.95|0.778|Retaliation
Flame Ward Charge and Added Ward|397||BODY_ARMOR|0.89|20-21|22-23|24-26|27-30|31-38|60-75|76-100|PREFIX|0.028|0.09|DefensiveAbility
